Time (s),Number of Solutions
0,7
14,8
18,8
19,9
22,9
24,10
25,11
27,10
29,11
32,11
34,11
38,10
41,10
46,8
87,8
88,9
92,9
100,9
106,9
248,10
249,10
250,11
251,12
259,11
268,11
269,11
270,11
271,11
272,10
273,10
281,10
282,10
283,10
284,10
286,11
302,12
312,13
326,13
343,13
346,12
358,12
360,12
361,12
362,12
364,12
365,12
415,13
416,14
420,15
422,15
431,15
432,15
435,15
569,15
572,15
734,15
737,15
778,15
779,15
780,13
793,13
797,13
811,13
863,13
881,13
930,13
931,13
934,13
935,12
936,13
3397,14
3398,14
3399,14
3400,15
3594,14
3596,15
3600,15
3604,14
3607,14
3608,14
3614,14
3615,15
3616,12
3698,12
3702,12
3705,12
4142,11
4149,11
4150,10
4200,11
4201,10
4206,11
4220,11
4223,11
4242,12
4856,13
4859,12
4862,12
4868,12
4890,12
4891,12
4893,12
4937,12
4938,13
4995,12
4997,12
5348,12
5349,12
5364,12
5365,12
5367,12
5368,12
5371,11
5397,11
5404,11
5405,11
5413,12
5428,12
5430,12
5448,12
5449,12
5450,12
5451,12
5452,11
5456,11
5466,12
5468,12
5479,12
5480,12
5481,12
5482,12
5483,12
5533,10
5536,10
5539,10
5540,11
5541,11
5543,10
5545,10
5546,9
5548,10
5567,11
5576,11
5579,11
5580,11
5581,11
5584,11
5592,11
5746,11
6057,10
6058,11
6061,11
6072,11
6074,11
6079,12
6082,13
6086,11
6090,12
6093,12
6403,11
6409,12
6411,12
6427,13
6429,13
6430,13
6810,14
6812,14
6814,14
6816,14
6826,15
6835,15
6836,15
6840,15
6841,16
6845,15
6848,15
6850,15
6852,15
6855,15
6857,15
6859,15
6864,15
6872,13
6880,11
6881,11
6885,10
6886,10
7225,11
7232,11
7233,11
7244,11
7245,12
7248,12
7249,12
7256,12
7258,13
7262,13
7268,13
7289,13
7744,13
7745,13
7749,13
7750,13
7819,13
7821,13
7822,13
7852,13
7853,13
7855,13
7857,13
7870,13
7873,13
7874,12
7875,12
7878,11
7885,11
7887,11
7888,10
7904,10
7906,10
7920,10
7929,9
7931,8
7934,7
7937,7
7938,7
7947,7
7949,7
7950,7
7951,6
7957,7
7962,7
7966,8
7968,8
9719,9
9723,9
10028,9
10030,9
10031,10
11213,11
11214,11
11217,11
11219,11
11226,11
11231,11
11234,11
11251,11
11256,12
11260,13
11262,14
11264,15
11294,14
11296,14
11300,14
12273,14
12277,14
12281,15
12286,15
12296,15
12308,15
12314,15
12320,15
12322,15
12325,15
12326,15
12327,14
12380,14
12383,14
12384,14
12388,14
12406,14
12412,14
12413,13
12437,13
12438,12
12867,13
12868,13
12877,13
12878,12
12880,11
12893,11
12963,11
12965,11
12991,11
13000,11
13009,11
13010,11
13014,11
13016,12
13070,11
13073,10
13079,11
13081,11
13090,12
13091,12
13118,13
13121,13
13129,13
13139,13
13140,14
13141,14
13142,14
13145,14
13153,14
13155,14
13184,14
13191,14
13208,14
13265,15
13288,15
13310,13
13311,13
13312,13
13354,14
13367,14
13368,14
13394,14
13397,14
13411,15
13417,14
13510,15
13552,15
13554,15
13560,15
13572,15
13595,15
13596,15
13732,15
13740,15
13741,15
13743,14
13967,14
13972,14
13979,14
13983,14
14124,14
14147,14
14149,14
14184,15
14189,14
14190,14
14206,14
14207,14
14208,14
14209,14
14211,14
14212,14
14215,14
14219,12
14223,12
14224,12
14225,11
14226,11
14229,11
14230,11
14247,12
14248,12
14256,12
14258,12
14259,12
14267,10
14283,10
14318,10
14326,10
14330,10
14332,10
14334,9
14347,9
14353,9
14377,9
14394,9
14561,8
14562,9
14565,10
14634,10
14637,10
14643,11
14647,11
14659,9
14702,9
14711,10
14713,9
14779,9
14805,10
14808,10
14927,10
14950,10
14951,10
14952,8
14964,9
14965,9
14970,9
14980,10
14987,10
14991,10
14992,11
15009,11
15011,10
15023,11
15026,10
15036,10
15041,10
15049,10
15054,11
15057,11
15081,11
15254,12
15269,12
15270,12
15271,12
15282,12
15290,12
15292,12
15300,13
15331,14
15333,14
15342,14
15343,14
15541,14
15545,14
15547,14
16855,14
16875,14
16887,13
16889,13
16890,13
16893,13
16898,12
16899,12
16924,12
16932,12
16934,11
16943,10
16951,10
16956,10
16957,10
16959,10
17018,10
17027,10
17029,10
17063,10
17064,10
17074,10
17138,9
17183,9
17193,10
17196,10
17199,8
17221,8
17223,7
17234,6
17238,6
17243,6
17244,6
17246,6
17247,6
17248,6
17254,6
17257,7
17331,8
17373,8
17380,6
17391,6
17397,6
17401,6
17406,7
17698,8
18038,9
18040,10
18082,11
18088,11
18091,11
18104,12
18109,12
18115,12
18118,12
18119,12
18127,12
18149,11
18151,10
18182,10
18184,10
18195,10
18216,10
18223,10
18229,10
18267,11
18417,12
18424,12
18427,12
18464,12
18470,12
18482,12
18483,12
18499,13
18503,13
18603,14
18617,14
18658,14
18691,14
18695,14
18715,14
18791,13
18859,13
18865,13
18867,13
18878,13
18884,13
18904,13
18913,12
18917,11
18946,11
19165,12
19172,12
19175,12
19176,12
19177,12
19376,12
19377,12
19383,12
19429,13
19474,13
19477,13
19480,13
19491,12
19509,13
19596,13
19597,12
19624,12
19625,12
19627,12
19693,12
19694,12
19713,11
19721,11
19733,11
19736,11
19739,10
19750,10
19775,10
19777,10
19779,10
19788,10
19805,7
19807,6
19808,6
19915,6
19923,6
19930,6
19931,6
19934,7
19955,7
19958,7
19975,7
19978,7
19991,8
20007,8
20038,8
20042,8
20044,8
20049,8
20148,6
20153,6
20171,6
20433,7
20799,7
20804,7
20811,7
20909,7
20915,7
21012,7
21198,8
21203,8
21205,8
21206,8
21209,8
21273,9
21277,9
21283,9
21293,9
21296,8
21303,8
21305,8
21313,8
21315,8
21516,9
21524,9
21534,9
21552,9
21557,8
21580,7
21585,7
21602,7
21628,8
21630,8
21639,8
21652,7
21664,8
21743,7
21757,8
21777,8
21782,9
21817,9
21820,9
21821,9
21825,9
21839,9
21844,9
21850,9
21897,9
22043,9
22055,9
22072,9
22074,9
22077,9
22078,9
22080,9
23045,9
23093,9
23110,9
23117,9
23129,10
23161,9
23168,8
23182,8
23239,9
23241,9
23243,8
23245,8
23262,8
23265,7
23268,7
23324,7
23329,7
23453,7
23478,8
23492,8
23495,8
23503,8
23522,8
23530,8
23573,8
23574,8
23577,7
23579,8
23644,8
23666,8
23679,8
23716,8
23719,8
23789,8
23804,8
23821,7
23823,7
23911,8
23923,8
23947,6
23969,6
23987,7
24005,7
24018,7
24058,8
24070,8
24086,8
24090,8
24107,8
24118,9
24133,9
24173,9
24190,9
24216,8
24363,9
24370,9
24379,9
24412,8
24428,8
24470,8
24504,8
24518,8
24808,8
24809,8
24830,8
24833,8
25032,9
25041,9
25054,9
25061,9
25085,9
25675,10
25676,10
25755,10
25760,10
25768,10
25789,10
25798,11
25801,11
25803,11
25809,11
25843,11
25846,10
25847,9
25871,8
25884,8
25888,8
25907,8
25927,8
25929,8
25950,8
25992,8
26002,8
26010,7
26037,7
26042,7
26093,8
26101,8
26116,8
26158,8
26185,8
26232,8
26235,8
26236,8
26247,8
26259,8
26355,8
26379,8
26384,8
26386,8
26433,8
26445,7
26463,7
26506,7
26537,7
26649,7
26671,7
27349,7
27367,7
27389,7
27443,7
27774,7
